sample_id,mass_avg,mass_min,mass_max,mass_var,atomic_number_mean,atomic_number_min,atomic_number_max,atomic_number_var,light_element_fraction,heavy_element_fraction,en_atom_mean,en_atom_std,en_diff_mean,en_diff_max,en_diff_var,is_ionic_like,group_mean,group_std,valence_proxy_mean,valence_proxy_max,valence_proxy_var,gap_pbe,alphax_el,alphay_el,alphaz_el,alpha_el_mean_diag,layergroup,pointgroup,has_inversion_symmetry,is_janus_like,has_out_of_plane_dipole
1MoW3Te8-1,139.02249999999995,95.95,183.84,743.7377687500001,56.666666666666664,42,74,107.55555555555559,0,1,2.1700000000000004,0.1109053650640941,0.1733333333333332,0.2599999999999998,0.0070222222222222005,0,12.666666666666666,4.714045207910316,6,6,0,0.804370300292508,9.033096952785572,8.978567098350318,0.4671882528621472,6.1596174346660115,pm2m,mm2,0,0,1
1NiPd3Se8-1,84.14341666666667,58.693,106.42,195.87444640972225,36.5,28,46,32.75,0,0.25,2.4091666666666667,0.21195354574895772,0.4266666666666666,0.6399999999999999,0.023355555555555536,0,14,2.8284271247461903,7.333333333333333,10,3.555555555555556,0.3817485618761258,11.87637439665897,11.873011933039098,0.38663956927213555,8.0453419663234,p2/m11,2/m,1,0,1
1PdPt3O8-1,68.30433333333335,15.999,195.08,5962.983015222224,28.666666666666668,8,78,918.2222222222222,0.6666666666666666,0.3333333333333333,3.046666666666667,0.5566167642303115,0.8266666666666665,1.2399999999999998,0.27982222222222236,0,14,2.8284271247461903,7.333333333333333,10,3.555555555555556,1.0635896739523658,3.171366599784385,3.222796741911864,0.2337177218964852,2.209293687864245,p2/m11,2/m,1,0,1
1TiHf3Te8-1,133.67808333333332,47.867,178.49,1140.2842020763892,54.5,22,72,168.75,0,0.9166666666666666,1.8533333333333335,0.35396170539888766,0.5333333333333333,0.8,0.05262222222222224,0,12,5.656854249492381,5.333333333333333,6,0.8888888888888888,0.07963047885490226,9.919681599690449,10.049546714541968,0.4575710715263629,6.80893312858626,pm2m,mm2,0,0,1
1TiPd3Se8-1,83.24125000000001,47.867,106.42,250.74843318750004,36,22,46,44,0,0.25,2.3783333333333334,0.29353686120977857,0.6733333333333332,1.0099999999999998,0.07268888888888891,0,13.5,3.840572873934304,6.833333333333333,10,3.6388888888888893,0.23906923775711153,11.82581381670992,10.679013615257295,0.3977743543504713,7.6342005954392285,p1,1,0,0,1
1TiZr3S8-1,48.16825,32.06,91.224,636.4407767,22.5,16,40,104.75,0.6666666666666666,0.25,2.1808333333333327,0.5669429473549834,0.8333333333333334,1.25,0.20162222222222223,0,12,5.656854249492381,5.333333333333333,6,0.8888888888888888,0.9966615206633227,4.268220412682268,4.13734561810062,0.3683547204607856,2.9246402504145586,p1,1,0,0,1
1TiZr3Te8-1,111.86158333333331,47.867,127.6,612.8848589097221,46.5,22,52,80.75,0,0.9166666666666666,1.8608333333333338,0.34228298071754737,0.5133333333333333,0.77,0.053355555555555566,0,12,5.656854249492381,5.333333333333333,6,0.8888888888888888,0.1892830304544395,11.04337849754214,11.137749306929345,0.4655488401103503,7.548892214860612,pm2m,mm2,0,0,1
1WCr3S8-1,49.69233333333333,32.06,183.84,1708.225878555556,22.833333333333332,16,74,249.6388888888889,0.6666666666666666,0.08333333333333333,2.3316666666666666,0.39238232489357744,0.6133333333333334,0.9200000000000002,0.08542222222222219,0,12.666666666666666,4.714045207910316,6,6,0,0.8630746254315184,7.949763467039631,7.934043875260361,0.7643495279828643,5.549385623427619,pm2m,mm2,0,0,1
1WCr3Se8-1,80.96633333333334,51.996,183.84,1094.3902312222222,34.833333333333336,24,74,157.63888888888886,0,0.08333333333333333,2.311666666666667,0.3797769813397799,0.5933333333333333,0.8899999999999999,0.08735555555555553,0,12.666666666666666,4.714045207910316,6,6,0,0.6770262886389171,9.459840387501897,9.457714892825747,0.7608733653416616,6.5594762152231025,pm2m,mm2,0,0,1
1WCr3Te8-1,113.38566666666667,51.996,183.84,1490.5220652222222,46.833333333333336,24,74,209.63888888888889,0,0.75,2.011666666666667,0.21501291950846949,0.4666666666666666,0.7,0.03262222222222224,0,12.666666666666666,4.714045207910316,6,6,0,0.4428158811667401,12.457996719206138,12.636420954564013,0.7701043349420055,8.621507336237386,pm2m,mm2,0,0,1
